faixa_bola,dezena,quantidade de vezes
faixa_Bola1,1-10,2109
faixa_Bola1,11-20,682
faixa_Bola1,21-30,184
faixa_Bola1,31-40,24
faixa_Bola1,41-50,5
faixa_Bola1,51-60,0
faixa_Bola2,1-10,774
faixa_Bola2,11-20,1224
faixa_Bola2,21-30,726
faixa_Bola2,31-40,243
faixa_Bola2,41-50,36
faixa_Bola2,51-60,1
faixa_Bola3,1-10,142
faixa_Bola3,11-20,787
faixa_Bola3,21-30,1037
faixa_Bola3,31-40,774
faixa_Bola3,41-50,249
faixa_Bola3,51-60,15
faixa_Bola4,1-10,14
faixa_Bola4,11-20,238
faixa_Bola4,21-30,699
faixa_Bola4,31-40,1120
faixa_Bola4,41-50,769
faixa_Bola4,51-60,164
faixa_Bola5,1-10,0
faixa_Bola5,11-20,33
faixa_Bola5,21-30,241
faixa_Bola5,31-40,730
faixa_Bola5,41-50,1221
faixa_Bola5,51-60,779
faixa_Bola6,1-10,0
faixa_Bola6,11-20,0
faixa_Bola6,21-30,32
faixa_Bola6,31-40,189
faixa_Bola6,41-50,752
faixa_Bola6,51-60,2031
